time,x,y,z,abs,file,roadtype,weight,weather,makers,second
0.5785775,0.08514015594,-0.05782443121,0.04085215688,0.11073125,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.5886275,0.1136865917,-0.06746195823,-0.09519734859,0.1629057768,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.5986765,0.1080990198,-0.01416034833,-0.1068672216,0.1526647196,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6087255,0.1769379151,-0.06749119431,0.008257437944,0.1895528222,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6187745,0.1532397439,-0.0884826985,0.07846846461,0.1935688688,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6288245,0.1582970829,-0.1015269595,0.1895854425,0.2670361961,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6388735,0.192469673,-0.07805755153,0.1781319165,0.2736211543,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6489225,0.1593962681,-0.09299294829,0.1665626156,0.2485919622,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6589715,0.08273522356,-0.2201701811,0.1424592233,0.2749811924,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6690215,0.03270729611,-0.197686906,0.06344462872,0.2101787357,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6790705,0.08060955967,-0.1120189109,-0.001908531189,0.1380209405,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6891195,0.143835667,-0.004966040254,-0.09580545902,0.1728931654,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.6991685,0.1423691487,-0.08690409645,-0.2258329171,0.2807522091,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.7092185,0.1655710558,0.059485479,0.0281905961,0.1781768964,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.7192675,-0.04381939955,0.1569369292,0.1920979911,0.2518947751,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.7293165,-0.07015295651,-0.0341589953,0.1828301543,0.1987841533,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.7393655,0.02925743887,-0.1871408679,0.2941909611,0.3498943037,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.7494155,0.1494342206,-0.2068059312,0.1392391616,0.2906661721,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.75946425,0.2719903076,-0.1506271988,-0.1462985051,0.3436139302,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.76951325,-0.04069989173,0.04260105908,-0.4871917623,0.4907414235,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.77956225,-0.2353177404,-0.1023503937,-0.2205604827,0.338374007,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.78961225,-0.1047928853,-0.3536127055,-0.06060288191,0.3737595532,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.79966125,0.1121887726,-0.1881971674,0.2403761119,0.3252463215,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.80971025,0.5610974984,-0.185857404,0.3986912298,0.7129712996,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.81975925,0.5314798893,-0.3346715274,0.3143480676,0.702346504,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.82980925,0.2563917452,-0.3027281883,0.2240196955,0.4555940155,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
0.83985825,0.1477333204,-0.02789984331,-0.17828219,0.2332125093,Asfalt_0_second_0.csv,asphalt,0.0,Dry,Laurence & Doris,0
