time,x,y,z,file,roadtype,weight,weather,makers
0.149671500083059,-1.2888198852539063,7.373816070556641,5.54012924194336,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.1597255000378936,-0.3528163146972656,6.949448547363281,6.781348114013673,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.169778500101529,-0.3770658874511719,7.152875518798829,6.788084106445313,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.1798325000563636,-1.244961090087891,7.094197540283203,6.675967254638672,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.1898855000035837,-0.6985972595214844,7.101083221435547,6.967860260009766,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.1999395000748336,-0.7942483520507813,6.9407666015625,6.982230377197266,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.2099925000220537,-0.4757107543945312,6.878795471191407,7.277715911865235,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.2200465000933036,-0.3324586486816406,6.951993255615235,6.855444030761719,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.2300995000405237,-0.0314346313476562,7.081324310302735,6.782096557617188,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.2401534999953583,-0.2077679443359375,7.198530578613282,6.54603744506836,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.2502065000589937,-0.2222877502441406,7.252418518066406,6.481072540283203,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.2602595000062138,-0.3448828125,7.225175170898438,6.522536315917969,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.2703135000774637,-0.3167413330078125,7.1138067626953125,6.585854644775391,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.2803665000246838,-0.3065625,7.127727813720703,6.770121459960938,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.2904205000959337,-0.3683839416503906,7.1226383972167975,6.797364807128907,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3004735000431537,-0.30416748046875,7.068900146484375,6.904392242431641,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3105274999979883,-0.3028202819824219,7.128326568603516,6.849007415771485,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3205805000616237,-0.1935475158691406,7.140750732421876,6.860533447265626,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3306345000164583,-0.1103205871582031,7.244335327148438,6.7509613037109375,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3406875000800937,-0.1558259582519531,7.260651397705079,6.663842468261719,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3507415000349283,-0.1311273193359375,7.2566098022460945,6.640790405273438,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3607945000985637,-0.2002835083007812,7.262447662353516,6.669530639648438,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3708485000533983,-0.2926414489746093,7.223378906250001,6.808441772460938,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3809015000006184,-0.473016357421875,7.2319111633300786,6.845564575195313,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.3909545000642538,-0.5887257385253907,7.193740539550782,6.916816406250001,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.4010085000190884,-0.6810836791992188,7.218738555908203,6.776258697509766,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.4110615000827238,-0.8767268371582032,7.199728088378906,6.643484802246094,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.4211155000375584,-1.0103988647460938,7.110064544677734,6.723717956542969,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
0.4311685001011938,-1.0999127197265626,7.059320068359376,6.790628814697266,asphalt_0kg_seg1.csv,asphalt,0.0,dry,Hala & Ismeal
