time_s;acc_x_ms2;acc_y_ms2;acc_z_ms2;acc_abs_ms2;source_file
2.007995561;-0.755422354;-1.713557363;-0.058429718;1.873594353;sample_08_Klinker_combo2_cut03.csv
3.007994457;-0.498731762;-1.62838006;1.136656761;2.047521327;sample_08_Klinker_combo2_cut04.csv
4.007994353;0.962310076;-0.152747035;0.283382416;1.014730473;sample_08_Klinker_combo2_cut05.csv
5.007995634;1.039593101;-0.937090874;-0.00452137;1.399611933;sample_08_Klinker_combo2_cut06.csv
6.007993301;-0.267703772;1.739935994;-0.10217762;1.763372575;sample_08_Klinker_combo2_cut07.csv
7.007995351;-0.775221527;-0.217023403;2.658083916;2.777314832;sample_08_Klinker_combo2_cut08.csv
8.007993555;-0.545131803;1.112743974;-1.378060341;1.853218319;sample_08_Klinker_combo2_cut09.csv
9.007837681;1.064567685;-0.397402734;1.032270432;1.535192344;sample_08_Klinker_combo2_cut10.csv
10.00783541;-0.517561853;0.416047394;-1.530207634;1.668083064;sample_08_Klinker_combo2_cut11.csv
11.00783252;0.729686201;-0.103383362;0.556189537;0.923296741;sample_08_Klinker_combo2_cut12.csv
12.00782909;0.632720292;-1.040456295;-0.933766365;1.534537029;sample_08_Klinker_combo2_cut13.csv
13.0078262;0.540836453;0.049717009;1.238459587;1.352315791;sample_08_Klinker_combo2_cut14.csv
14.007823;1.401406765;0.265832782;-0.15568161;1.434867503;sample_08_Klinker_combo2_cut15.csv
15.00781949;0.125906915;-0.088906944;-0.973610878;0.985735836;sample_08_Klinker_combo2_cut16.csv
16.00781629;-1.33878684;0.544319868;-1.033328056;1.776626352;sample_08_Klinker_combo2_cut17.csv
17.00781248;-0.568089843;0.670773029;1.096576691;1.405397796;sample_08_Klinker_combo2_cut18.csv
18.00781082;0.112045102;0.442399204;-1.111146927;1.20121549;sample_08_Klinker_combo2_cut19.csv
19.00780608;0.143098295;0.390019298;0.673903465;0.791667894;sample_08_Klinker_combo2_cut20.csv
20.00780165;-0.269676685;-0.05107975;1.111809731;1.14518799;sample_08_Klinker_combo2_cut21.csv
21.00794947;-0.015266903;0.188508451;0.955269814;0.973811548;sample_08_Klinker_combo2_cut22.csv
22.00794795;0.3297925;-1.043183565;1.863877296;2.161257416;sample_08_Klinker_combo2_cut23.csv
23.0079482;0.899102688;-0.412910938;-0.659859657;1.189241714;sample_08_Klinker_combo2_cut24.csv
24.00794906;0.697206974;-0.605517745;-0.485967636;1.043510349;sample_08_Klinker_combo2_cut25.csv
25.00794616;0.376559854;0.073184609;4.01E-05;0.383605673;sample_08_Klinker_combo2_cut26.csv
26.00794741;0.001818359;0.054037213;0.031761169;0.062706449;sample_08_Klinker_combo2_cut27.csv
27.00794611;1.039880753;-0.947300077;0.549263954;1.510106058;sample_08_Klinker_combo2_cut28.csv
28.0079469;-0.193933815;0.295631409;2.068166733;2.098171082;sample_08_Klinker_combo2_cut29.csv
0;-0.010087252;0.005057335;0.101256371;0.101883178;sample_09_Asfalt_combo3_cut01.csv
1.000002197;-0.316001892;0.050249577;0.043429375;0.322906064;sample_09_Asfalt_combo3_cut02.csv
2.00000324;-2.846744537;0.643918693;0.29897213;2.933934232;sample_09_Asfalt_combo3_cut03.csv
3.000004668;1.500847816;-1.07520628;0.223711968;1.859747229;sample_09_Asfalt_combo3_cut04.csv
4.000007789;-1.374791145;-1.741183519;-0.070210457;2.21961714;sample_09_Asfalt_combo3_cut05.csv
5.000006756;-0.858055234;0.034992695;-1.667366028;1.875524658;sample_09_Asfalt_combo3_cut06.csv
6.000009261;-0.505127907;-0.103763498;-0.424453735;0.667893734;sample_09_Asfalt_combo3_cut07.csv
7.000008151;-0.514753461;0.10712415;1.12921524;1.24562184;sample_09_Asfalt_combo3_cut08.csv
8.000013578;0.638754726;0.921057105;1.246908188;1.676643617;sample_09_Asfalt_combo3_cut09.csv
9.000012699;1.456178665;0.104385614;1.071926117;1.811181455;sample_09_Asfalt_combo3_cut10.csv
10.00777476;0.302888244;-0.3740367;-0.066485405;0.485865259;sample_09_Asfalt_combo3_cut11.csv
11.00777195;-0.633547366;1.107988715;-1.010818481;1.628120161;sample_09_Asfalt_combo3_cut12.csv
12.00776806;-0.022267237;-0.128535867;-0.191970825;0.232099325;sample_09_Asfalt_combo3_cut13.csv
13.00776548;0.067378372;0.433711648;-1.902714729;1.952682509;sample_09_Asfalt_combo3_cut14.csv
14.00776074;0.08941853;-0.809225202;2.358170509;2.494756351;sample_09_Asfalt_combo3_cut15.csv
15.00775816;0.773558796;0.342513502;-1.743151665;1.93759811;sample_09_Asfalt_combo3_cut16.csv
16.00775627;0.042187393;-0.007104576;-0.60204792;0.603566027;sample_09_Asfalt_combo3_cut17.csv
17.007753;-2.612365484;0.739556253;-0.401274681;2.74452514;sample_09_Asfalt_combo3_cut18.csv
18.00775072;0.438866824;0.026151657;0.500179291;0.665933421;sample_09_Asfalt_combo3_cut19.csv
19.00774853;-0.250686497;-0.601507485;0.053407669;0.653840465;sample_09_Asfalt_combo3_cut20.csv
20.00774372;-0.455290377;0.41905123;0.026320457;0.619343223;sample_09_Asfalt_combo3_cut21.csv
21.00774052;-0.520160377;-0.300006449;0.147888184;0.61841863;sample_09_Asfalt_combo3_cut22.csv
0;-0.012416244;0.007603228;0.095452309;0.096556281;sample_10_Gras_combo3_cut01.csv
1.000000215;0.197969735;0.034085989;0.037944794;0.204435021;sample_10_Gras_combo3_cut02.csv
2.000000812;-0.242251873;-0.074710503;-0.597073555;0.648663595;sample_10_Gras_combo3_cut03.csv
3.000004104;3.14696908;-1.861754298;1.347071648;3.896683908;sample_10_Gras_combo3_cut04.csv
4.000004932;-0.889471352;-2.017801523;1.892831802;2.906113299;sample_10_Gras_combo3_cut05.csv
5.000005993;-3.034786701;1.46918273;-1.602715492;3.733245929;sample_10_Gras_combo3_cut06.csv
6.000007206;-1.881011486;0.058080852;-0.615390778;1.979970557;sample_10_Gras_combo3_cut07.csv
7.00000742;-2.044467211;0.294523239;-0.746943474;2.196477787;sample_10_Gras_combo3_cut08.csv
8.000008173;1.533132792;2.450741768;-1.33869648;3.185708655;sample_10_Gras_combo3_cut09.csv
